Date,Product Category,Region,Sales Amount,Units Sold,Customer Satisfaction,Profit Margin (%)
2024-02-10,Groceries,North,2203,39,9,6.51
2024-02-11,Books,East,2146,38,3,23.89
2024-02-12,Groceries,North,3732,20,6,23.46
2024-02-13,Toys,West,3986,47,8,10.72
2024-02-14,Electronics,West,2906,15,4,17.03
2024-02-15,Apparel,North,2152,3,1,8.8
2024-02-16,Books,East,4941,34,1,6.67
2024-02-17,Electronics,South,1664,48,5,19.08
2024-02-18,Books,North,4152,34,9,7.04
2024-02-19,Toys,West,2954,43,8,16.12
2024-02-20,Furniture,East,4511,26,5,20.47
2024-02-21,Furniture,North,2319,32,2,16.14
2024-02-22,Furniture,East,4646,12,9,12.14
2024-02-23,Books,West,3107,26,7,8.71
2024-02-24,Toys,North,1555,16,5,14.98
2024-02-25,Toys,North,1533,39,8,16.52
2024-02-26,Toys,North,4894,42,3,8.5
2024-02-27,Books,North,3827,25,2,12.56
2024-02-28,Apparel,East,2436,22,3,19.49
2024-02-29,Apparel,South,2685,41,2,22.27
2024-03-01,Furniture,East,1560,37,7,6.96
2024-03-02,Electronics,East,3767,31,9,6.22
2024-03-03,Groceries,North,3187,11,9,5.84
2024-03-04,Toys,West,775,8,1,12.84
2024-03-05,Furniture,South,927,5,7,21.58
2024-03-06,Furniture,East,2067,25,1,19.92
2024-03-07,Apparel,East,4535,25,9,22.68
2024-03-08,Toys,East,3992,15,4,11.12
2024-03-09,Furniture,West,3588,37,1,7.66
2024-03-10,Toys,South,575,2,5,12.62
2024-03-11,Electronics,South,1891,44,6,13.06
2024-03-12,Apparel,South,529,39,3,15.13
2024-03-13,Groceries,South,3729,45,7,17.73
2024-03-14,Groceries,East,1070,22,4,24.57
2024-03-15,Books,North,1013,43,4,5.06
2024-03-16,Furniture,East,1025,26,1,13.41
2024-03-17,Furniture,East,4077,6,8,8.2
2024-03-18,Books,South,3792,7,3,6.77
2024-03-19,Furniture,South,2679,24,9,20.46
2024-03-20,Electronics,North,3069,10,8,23.77
2024-03-21,Electronics,North,4530,1,4,17.71
2024-03-22,Groceries,West,3789,13,1,8.58
2024-03-23,Furniture,South,4571,25,7,21.84
2024-03-24,Electronics,North,2514,30,9,21.79
2024-03-25,Electronics,East,4777,49,6,22.6
2024-03-26,Groceries,East,2839,1,6,7.3
2024-03-27,Toys,West,3076,3,1,20.43
2024-03-28,Books,North,4459,24,1,23.47
2024-03-29,Furniture,North,1138,13,4,22.73
2024-03-30,Furniture,South,3570,8,4,12.46
2024-03-31,Books,East,4722,39,2,21.57
2024-04-01,Electronics,East,4086,8,2,12.03
2024-04-02,Toys,South,1377,34,2,18.98
2024-04-03,Furniture,West,3762,4,1,9.25
2024-04-04,Electronics,West,665,4,5,10.73
2024-04-05,Groceries,West,3324,33,7,16.16
2024-04-06,Books,North,783,45,2,21.87
2024-04-07,Furniture,East,4691,3,5,10.6
2024-04-08,Apparel,North,1029,22,2,22.92
2024-04-09,Electronics,North,3108,32,5,10.58
2024-04-10,Electronics,West,2315,16,7,19.63
2024-04-11,Groceries,West,2133,18,2,18.17
2024-04-12,Apparel,West,1112,10,4,17.14
2024-04-13,Electronics,North,4102,41,8,7.66
2024-04-14,Electronics,North,2803,48,1,16.57
2024-04-15,Toys,North,2096,37,9,12.15
2024-04-16,Electronics,South,3274,45,4,23.08
2024-04-17,Electronics,West,1463,38,1,11.6
2024-04-18,Toys,South,819,49,6,18.63
2024-04-19,Apparel,East,1854,15,5,24.08
2024-04-20,Apparel,East,1766,7,4,5.55
2024-04-21,Electronics,South,4359,29,9,19.49
2024-04-22,Groceries,South,4160,3,3,6.84
2024-04-23,Toys,North,3060,19,8,5.28
2024-04-24,Groceries,East,516,22,1,24.69
2024-04-25,Groceries,South,3762,12,3,20.97
2024-04-26,Groceries,East,3304,7,4,10.39
2024-04-27,Furniture,East,4545,24,9,23.04
2024-04-28,Apparel,South,1120,37,2,10.78
2024-04-29,Toys,South,1213,31,4,21.1
2024-04-30,Books,East,3675,31,6,23.56
2024-05-01,Electronics,South,1808,18,7,7.76
2024-05-02,Groceries,East,3133,10,7,7.58
2024-05-03,Apparel,East,612,2,3,24.73
2024-05-04,Apparel,West,4512,45,7,9.1
2024-05-05,Furniture,East,3712,21,8,21.1
2024-05-06,Books,North,4629,24,7,5.94
2024-05-07,Apparel,South,2275,41,6,14.66
2024-05-08,Furniture,East,3323,23,5,7.51
2024-05-09,Apparel,South,2274,34,1,8.09
2024-05-10,Toys,North,4896,48,4,23.86
2024-05-11,Apparel,North,3351,46,4,23.51
2024-05-12,Electronics,West,2341,22,7,22.67
2024-05-13,Apparel,West,3132,42,7,7.22
2024-05-14,Electronics,South,2159,21,4,15.01
2024-05-15,Groceries,West,4968,24,5,10.27
2024-05-16,Toys,North,963,5,8,17.48
2024-05-17,Toys,North,3951,41,3,18.32
2024-05-18,Books,North,4089,18,1,13.74
2024-05-19,Furniture,East,4055,10,2,10.74
2024-05-20,Electronics,West,1469,11,6,5.8
2024-05-21,Books,North,4745,26,4,16.78
2024-05-22,Groceries,South,717,32,6,13.09
2024-05-23,Toys,West,1124,42,7,22.57
2024-05-24,Furniture,North,2730,19,2,20.08
2024-05-25,Furniture,South,3053,19,7,17.12
2024-05-26,Electronics,East,779,36,5,13.85
2024-05-27,Toys,North,1167,2,5,23.26
2024-05-28,Apparel,East,4943,22,4,15.6
2024-05-29,Groceries,East,656,17,1,24.33
2024-05-30,Toys,West,1928,24,7,15.21
2024-05-31,Books,South,4864,12,9,9.19
2024-06-01,Apparel,East,2330,20,5,9.68
2024-06-02,Furniture,North,4710,38,1,17.02
2024-06-03,Furniture,South,4607,43,5,18.36
2024-06-04,Electronics,West,1033,43,4,24.73
2024-06-05,Books,South,1468,39,8,23.08
2024-06-06,Groceries,West,2230,24,5,15.6
2024-06-07,Electronics,South,3640,7,4,24.0
2024-06-08,Apparel,East,2758,2,9,8.87
2024-06-09,Books,North,1674,44,7,15.11
2024-06-10,Books,North,2709,21,9,5.63
2024-06-11,Books,North,2241,14,8,12.73
2024-06-12,Electronics,East,3022,29,9,24.04
2024-06-13,Electronics,South,4385,22,7,24.64
2024-06-14,Apparel,West,667,42,8,20.9
2024-06-15,Furniture,West,2996,36,1,12.24
2024-06-16,Toys,North,3169,33,1,18.67
2024-06-17,Groceries,South,4967,10,9,10.53
2024-06-18,Books,East,2801,47,7,23.45
2024-06-19,Furniture,East,2896,30,3,7.97
2024-06-20,Electronics,South,1989,11,2,11.85
2024-06-21,Apparel,South,3531,7,2,11.33
2024-06-22,Books,East,1693,36,4,10.38
2024-06-23,Toys,East,1839,36,7,13.93
2024-06-24,Books,West,3023,14,7,15.21
2024-06-25,Apparel,North,2256,2,5,12.45
2024-06-26,Furniture,North,4398,49,3,15.09
2024-06-27,Furniture,East,3575,8,7,10.55
2024-06-28,Furniture,East,4070,11,8,11.69
2024-06-29,Books,West,1377,2,9,19.57
2024-06-30,Toys,North,2843,41,6,23.19
2024-07-01,Electronics,North,2760,6,3,23.34
2024-07-02,Apparel,North,1923,46,7,23.11
2024-07-03,Electronics,East,1022,16,7,5.64
2024-07-04,Books,West,4349,34,7,22.98
2024-07-05,Electronics,North,1593,9,5,17.27
2024-07-06,Apparel,West,3717,48,4,9.62
2024-07-07,Groceries,South,1113,20,5,23.55
2024-07-08,Books,East,1669,38,5,13.7
2024-07-09,Apparel,East,2421,9,8,6.54
2024-07-10,Toys,South,4701,16,3,14.81
2024-07-11,Toys,West,1131,49,4,9.75
2024-07-12,Electronics,South,4718,33,8,11.66
2024-07-13,Toys,West,2611,9,1,22.21
2024-07-14,Groceries,South,4437,33,1,11.44
2024-07-15,Books,East,1174,25,3,5.78
2024-07-16,Groceries,South,2985,26,5,16.16
2024-07-17,Groceries,South,1960,26,3,24.09
2024-07-18,Groceries,North,4526,15,2,21.25
2024-07-19,Groceries,West,3864,26,7,16.43
2024-07-20,Electronics,West,4312,2,8,5.54
2024-07-21,Toys,North,2749,25,3,24.65
2024-07-22,Apparel,North,4148,2,5,7.58
2024-07-23,Books,North,2944,27,8,23.81
2024-07-24,Apparel,North,3894,44,3,14.18
2024-07-25,Toys,South,4051,26,4,19.31
2024-07-26,Books,East,1658,14,7,12.44
2024-07-27,Furniture,East,2123,34,5,7.86
2024-07-28,Books,North,4580,10,7,14.31
2024-07-29,Groceries,North,1463,4,3,15.89
2024-07-30,Furniture,North,4965,14,7,11.07
2024-07-31,Electronics,North,1396,3,6,22.29
2024-08-01,Electronics,West,2441,16,8,14.77
2024-08-02,Electronics,South,1559,14,7,21.36
2024-08-03,Furniture,South,4351,27,6,6.04
2024-08-04,Groceries,West,1962,24,3,8.28
2024-08-05,Toys,South,4144,35,1,8.09
2024-08-06,Books,South,2606,31,8,7.19
2024-08-07,Electronics,West,2388,20,6,24.08
2024-08-08,Toys,West,3518,37,6,5.15
2024-08-09,Furniture,East,3656,3,1,20.42
2024-08-10,Books,North,3753,38,6,14.87
2024-08-11,Apparel,North,1244,20,4,19.28
2024-08-12,Electronics,South,3517,10,9,14.99
2024-08-13,Apparel,West,4468,40,9,16.86
2024-08-14,Apparel,East,4912,47,8,15.01
2024-08-15,Electronics,West,2157,32,1,24.71
2024-08-16,Toys,West,4150,5,6,5.16
2024-08-17,Electronics,South,844,26,4,9.0
2024-08-18,Toys,West,719,21,8,14.64
2024-08-19,Apparel,West,3116,6,7,7.06
2024-08-20,Books,East,1563,3,7,24.91
2024-08-21,Apparel,West,3882,30,5,15.32
2024-08-22,Books,West,2336,12,8,22.33
2024-08-23,Toys,North,821,5,4,9.53
2024-08-24,Furniture,North,764,7,4,14.59
2024-08-25,Groceries,North,1076,49,8,14.96
2024-08-26,Furniture,West,1050,3,5,23.14
2024-08-27,Electronics,West,4259,24,4,16.06
2024-08-28,Toys,South,3918,36,3,22.36
2024-08-29,Groceries,East,4095,20,9,6.29
2024-08-30,Toys,South,3709,29,8,6.82
2024-08-31,Furniture,South,2564,26,1,10.22
2024-09-01,Furniture,West,1877,39,1,22.21
2024-09-02,Apparel,South,3620,17,9,13.44
2024-09-03,Groceries,West,1046,19,2,16.16
2024-09-04,Furniture,West,542,2,6,11.4
2024-09-05,Groceries,North,3264,14,6,24.37
2024-09-06,Furniture,East,801,11,9,25.0
2024-09-07,Toys,South,4507,2,6,10.97
2024-09-08,Books,East,4898,24,1,21.89
2024-09-09,Furniture,West,1054,43,3,9.14
2024-09-10,Groceries,East,3927,17,9,7.17
2024-09-11,Groceries,South,860,2,3,11.78
2024-09-12,Electronics,South,2924,44,8,11.55
2024-09-13,Toys,East,1558,38,4,24.43
2024-09-14,Toys,North,4702,44,5,21.39
2024-09-15,Electronics,North,2678,24,2,12.23
2024-09-16,Electronics,West,3152,15,5,11.25
2024-09-17,Apparel,East,4350,28,7,15.69
2024-09-18,Books,North,4680,14,8,21.47
2024-09-19,Electronics,East,1220,34,5,23.41
2024-09-20,Apparel,South,1891,1,4,23.81
2024-09-21,Electronics,West,4197,16,8,22.39
2024-09-22,Toys,West,2191,20,2,17.97
2024-09-23,Toys,South,3906,37,9,5.66
2024-09-24,Furniture,South,2366,34,4,22.62
2024-09-25,Books,North,796,32,4,16.16
2024-09-26,Books,East,3487,12,1,7.27
2024-09-27,Groceries,West,3192,49,6,9.23
2024-09-28,Books,West,1686,38,9,9.99
2024-09-29,Apparel,North,2199,16,7,9.77
2024-09-30,Furniture,West,2062,26,8,10.89
2024-10-01,Electronics,West,1078,12,1,24.05
2024-10-02,Apparel,South,4633,41,3,19.53
2024-10-03,Toys,North,1161,1,2,10.14
2024-10-04,Books,East,4890,16,8,16.48
2024-10-05,Furniture,East,2988,47,7,5.43
2024-10-06,Toys,West,4889,34,9,7.11
2024-10-07,Toys,West,3365,32,2,9.91
2024-10-08,Electronics,East,1645,34,3,12.63
2024-10-09,Apparel,East,3247,29,1,20.79
2024-10-10,Books,East,757,32,9,11.44
2024-10-11,Electronics,South,958,45,4,12.58
2024-10-12,Toys,East,1670,43,6,15.83
2024-10-13,Furniture,North,1347,12,1,14.45
2024-10-14,Toys,West,4373,26,9,16.88
2024-10-15,Electronics,North,821,21,9,15.35
2024-10-16,Apparel,South,3322,47,6,19.0
2024-10-17,Groceries,East,2666,40,4,10.7
2024-10-18,Books,West,2661,8,3,16.91
2024-10-19,Groceries,North,4142,21,6,18.49
2024-10-20,Groceries,West,501,46,5,10.62
2024-10-21,Furniture,East,2837,43,1,23.66
2024-10-22,Groceries,West,1366,20,6,13.49
2024-10-23,Apparel,West,4504,22,4,10.55
2024-10-24,Groceries,East,4500,12,1,24.38
2024-10-25,Furniture,North,3957,25,8,22.25
2024-10-26,Groceries,West,3790,26,6,11.08
2024-10-27,Toys,East,4060,37,6,14.96
2024-10-28,Toys,West,3760,42,2,24.96
2024-10-29,Books,South,855,33,5,14.66
2024-10-30,Apparel,South,3398,9,5,16.75
2024-10-31,Toys,West,2877,49,2,10.66
2024-11-01,Toys,East,2499,33,9,10.71
2024-11-02,Furniture,South,3012,22,1,14.1
2024-11-03,Apparel,East,4618,23,5,17.55
2024-11-04,Electronics,East,2241,9,9,15.58
2024-11-05,Apparel,West,4116,36,8,14.41
2024-11-06,Toys,South,1007,22,7,8.33
2024-11-07,Electronics,West,2733,35,7,15.12
2024-11-08,Furniture,East,3759,35,7,22.96
2024-11-09,Apparel,North,2495,1,1,24.92
2024-11-10,Toys,East,4730,20,2,21.61
2024-11-11,Toys,West,2094,7,9,18.13
2024-11-12,Books,North,707,21,3,7.52
2024-11-13,Furniture,East,4707,9,3,16.6
2024-11-14,Toys,North,2702,18,1,22.17
2024-11-15,Furniture,East,3728,30,9,10.51
2024-11-16,Groceries,North,2761,37,2,13.71
2024-11-17,Books,East,1501,46,4,18.18
2024-11-18,Furniture,West,4016,34,3,22.2
2024-11-19,Groceries,West,3258,22,4,15.94
2024-11-20,Books,North,4201,3,2,21.15
2024-11-21,Furniture,West,3519,33,5,5.27
2024-11-22,Furniture,North,1982,14,2,11.62
2024-11-23,Books,East,1088,40,5,5.94
2024-11-24,Books,North,3776,44,2,12.9
2024-11-25,Apparel,North,1806,4,8,16.86
2024-11-26,Books,East,2175,12,3,12.49
2024-11-27,Books,West,1550,7,6,22.98
2024-11-28,Furniture,South,1246,44,8,12.26
2024-11-29,Groceries,North,3833,30,2,15.36
2024-11-30,Books,East,1067,10,9,9.8
2024-12-01,Furniture,South,4268,2,9,8.76
2024-12-02,Electronics,North,3177,41,5,11.03
2024-12-03,Furniture,South,4682,18,9,20.01
2024-12-04,Groceries,North,1115,35,3,7.02
2024-12-05,Furniture,South,1238,28,7,21.01
2024-12-06,Groceries,East,4572,1,1,13.56
2024-12-07,Furniture,North,1424,43,1,9.95
2024-12-08,Groceries,West,775,31,3,21.17
2024-12-09,Electronics,South,754,37,3,9.86
2024-12-10,Toys,West,2163,27,2,18.6
2024-12-11,Apparel,East,4845,27,4,8.46
2024-12-12,Furniture,North,4930,14,2,22.15
2024-12-13,Electronics,North,2690,44,9,20.62
2024-12-14,Toys,South,4748,39,1,17.3
2024-12-15,Electronics,North,768,22,5,8.67
2024-12-16,Groceries,East,4771,22,1,14.45
2024-12-17,Books,East,4853,21,3,19.09
2024-12-18,Electronics,South,2387,48,4,23.66
2024-12-19,Books,South,4573,28,1,13.74
2024-12-20,Furniture,South,3672,23,8,12.33
2024-12-21,Toys,South,4943,34,2,6.04
2024-12-22,Toys,West,3528,38,2,6.71
2024-12-23,Books,West,1031,13,4,7.1
2024-12-24,Electronics,East,4342,27,1,22.56
2024-12-25,Electronics,West,3044,33,4,14.27
2024-12-26,Groceries,North,3063,49,2,18.87
2024-12-27,Books,West,2736,8,2,5.08
2024-12-28,Books,West,3832,17,7,21.41
2024-12-29,Books,North,1688,15,4,14.6
2024-12-30,Groceries,East,1240,37,7,22.49
2024-12-31,Apparel,North,4144,49,1,9.56
